event_date, interface_type, app_version, num_visit, num_search, num_product_viewed, num_add_to_cart, num_checkout, num_payment_selected, num_booking_created, num_session_visit, num_session_search, num_session_product_viewed, num_session_add_to_cart, num_session_checkout, num_session_payment_selected, num_session_booking_created
2019-03-01,IOS,2.3.0,7,2,0,0,0,0,0,0,0,0,0,0,0,0
2019-03-01,IOS,2.3.1,6,2,0,0,0,0,0,0,0,0,0,0,0,0
2019-03-01,IOS,2.4.0,4,2,2,3,0,0,0,0,0,0,0,0,0,0
2019-03-01,IOS,2.5.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-03-01,IOS,2.5.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-03-01,IOS,2.5.2,33,26,17,40,0,0,0,0,0,0,0,0,0,0
2019-03-01,IOS,2.5.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-03-01,IOS,2.6.0,17,11,4,0,0,0,0,0,0,0,0,0,0,0
2019-03-01,IOS,2.6.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-03-01,IOS,2.7.0,0,0,0,0,0,0,0,23,8,3,5,1,1,1
2019-03-01,IOS,2.7.1,0,0,0,0,0,0,0,4,1,0,0,0,0,0
2019-03-01,IOS,2.7.2,0,0,0,0,0,0,0,411,191,64,34,12,6,5
2019-03-01,IOS,2.8.0,0,0,0,0,0,0,0,497,268,93,69,21,14,8
2019-03-01,IOS,2.8.0.Debug,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-03-01,IOS,2.9.0.Debug,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-03-02,ANDROID,1.10.0,50,43,6,0,0,0,0,0,0,0,0,0,0,0
2019-03-02,ANDROID,1.9.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-03-02,ANDROID,2.0.0,5,3,0,0,0,0,0,0,0,0,0,0,0,0
2019-03-02,ANDROID,2.0.1,7,5,0,0,0,0,0,0,0,0,0,0,0,0
2019-03-02,ANDROID,2.0.2,39,37,10,0,0,0,0,0,0,0,0,0,0,0
2019-03-02,ANDROID,2.1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-03-02,ANDROID,2.1.1,19,12,0,0,0,0,0,0,0,0,0,0,0,0
2019-03-02,ANDROID,2.2.0,6,2,1,0,0,0,0,0,0,0,0,0,0,0
2019-03-02,ANDROID,2.3.0,17,13,0,0,0,0,0,0,0,0,0,0,0,0
